timestamp,processing time,predicted pt
73273,1,1.76706227
73273,1,1.76706227
73273,1,1.76706227
73274,1,2.466069318
73274,1,1.76706227
73274,1,2.507755872
73278,2,2.55232193
73281,14,19.62364414
73285,1,2.477260238
73292,4,2.477260238
73295,2,2.507755872
73295,2,2.477260238
73296,2,2.506368642
73298,8,4.567505865
73299,1,2.818565321
73303,2,2.55232193
73304,8,2.466069318
73304,8,2.466069318
73304,8,4.874502542
73305,8,2.567973555
73306,1,2.382757815
73306,1,2.382757815
73309,1,2.537477922
73309,4,2.567973555
73309,6,2.736581766
73310,1,2.736581766
73312,11,7.047062005
73317,2,2.626176496
73317,2,2.626176496
73318,2,2.565958813
73319,1,2.507755872
73324,10,4.687313719
73326,2,2.626176496
73326,2,2.626176496
73328,3,1.893769032
73328,3,1.893769032
73328,3,1.893769032
73333,1,2.626176496
73333,1,2.626176496
73334,1,2.736581766
73339,7,4.533969342
73350,2,1.763517455
73362,6,2.567973555
73374,2,4.994310396
73376,2,2.753393673
73376,2,2.753393673
73376,2,2.567973555
73380,1,2.626176496
73385,14,2.551764782
73420,4,4.59479381
73421,4,4.59479381
73441,1,2.626176496
73443,1,22.35152202
73445,1,2.626176496
73456,2,2.537477922
73458,4,3.407285806
73472,2,2.911519218
73472,2,2.911519218
73472,2,2.911519218
73472,4,3.715975318
73472,2,2.911519218
73472,2,2.911519218
73472,2,2.911519218
73472,2,2.911519218
73476,1,2.477260238
73476,1,2.507755872
73477,6,2.507755872
73494,2,2.477260238
73494,2,2.477260238
73503,27,34.33994208
73523,9,2.382757815
73539,5,2.626176496
73539,5,2.567973555
73571,2,2.537477922
73572,1,2.537477922
73572,1,2.626176496
73576,2,2.537477922
73576,2,2.567973555
73588,10,2.626176496
73620,1,2.626176496
73623,1,2.626176496
73623,1,1.893769032
73623,6,2.626176496
73626,1,3.804607289
73628,2,2.565958813
73628,6,2.565958813
73628,6,3.347068123
73628,2,2.565958813
73628,2,2.565958813
73628,2,3.347068123
73629,3,2.507755872
73629,2,3.347068123
73629,3,2.764700653
73629,2,2.565958813
73629,6,3.347068123
73629,6,2.565958813
73631,2,2.824918337
73632,3,2.824918337
73632,1,2.824918337
73635,6,2.639552063
73635,1,2.764700653
73635,1,2.565958813
73635,1,2.565958813
73636,1,2.764700653
73636,1,2.565958813
73636,1,2.507755872
73639,1,2.507755872
73639,1,2.506368642
73642,1,2.262949961
73650,2,2.507755872
73650,4,2.507755872
73709,1,1.76706227
73723,1,1.929390593
73762,1,1.643709601
73762,1,1.643709601
73762,1,1.643709601
73766,1,1.643709601
73768,2,2.477260238
73803,2,2.477260238
73803,1,2.477260238
73803,2,2.506368642
73803,2,2.506368642
73803,2,2.507755872
73804,6,2.724011085
73805,6,2.507755872
73805,6,2.579961892
73811,1,2.477260238
73811,2,4.439487831
73811,3,4.874502542
73813,4,2.506368642
73825,28,34.33994208
73828,1,1.763517455
73828,3,2.626176496
73835,2,2.626176496
73836,6,2.84381894
73837,6,2.753393673
73837,1,1.652152675
73837,2,2.626176496
73837,1,1.652152675
73837,1,1.652152675
73843,4,2.626176496
73853,3,1.768942291
73853,3,2.626176496
73854,1,2.551764782
73854,1,2.537477922
73854,5,2.626176496
73854,2,1.768942291
73854,2,2.626176496
73854,5,1.768942291
73854,2,1.768942291
73854,2,2.626176496
73859,5,2.626176496
73859,1,2.626176496
73859,1,2.567973555
73859,1,2.567973555
73859,1,2.626176496
73871,7,4.994310396
73881,3,4.994310396
73881,3,2.626176496
73893,1,2.626176496
73908,1,2.019488732
73909,1,1.885612841
73909,4,2.382757815
73911,5,2.736581766
73911,1,2.626176496
73911,2,2.537477922
73911,2,2.736581766
73911,1,2.382757815
73911,5,2.382757815
73957,7,4.286143454
73961,7,4.499078002
73966,1,4.559295685
73970,2,2.537477922
73978,4,2.477260238
73978,4,2.507755872
74013,2,2.626176496
74013,1,1.893769032
74014,1,2.753393673
74022,2,2.537477922
74025,2,2.537477922
74025,2,2.537477922
74026,2,2.477260238
74028,3,2.477260238
74031,4,2.6119121
74053,1,2.507755872
74053,2,2.507755872
74053,3,2.477260238
74053,1,2.515080675
74053,1,2.565958813
74053,1,2.565958813
74053,2,2.507755872
74066,1,2.507755872
74066,5,2.506368642
74066,1,2.506368642
74071,2,2.506368642
74071,5,2.506368642
74071,3,2.506368642
74072,2,3.295887449
74072,3,3.295887449
74072,5,2.506368642
74072,5,3.295887449
74072,3,2.34930718
74072,3,3.295887449
74072,2,3.295887449
74072,2,2.34930718
74072,2,2.506368642
74085,3,2.477260238
74085,1,2.34930718
74085,2,2.477260238
74085,1,2.34930718
74085,3,2.506368642
74087,3,2.506368642
74087,1,2.455490505
74087,3,2.506368642
74100,21,46.80041351
74131,2,2.387125137
74134,2,2.565958813
74134,1,2.6119121
74134,2,2.565958813
74134,10,2.322540131
74134,13,27.67796227
74134,2,2.387125137
74151,1,2.567973555
74151,1,2.382757815
74151,1,2.382757815
74157,1,1.768942291
74157,1,1.768942291
74168,5,2.352148305
74168,1,2.352148305
74169,6,2.626176496
74169,6,2.352148305
74169,1,2.753393673
74169,6,2.626176496
74178,1,2.537477922
74179,6,2.537477922
74179,1,2.537477922
74185,4,2.537477922
74185,2,2.537477922
74186,4,2.567973555
74187,1,2.537477922
74194,1,2.537477922
74204,3,2.308020541
74209,9,2.84381894
74214,5,2.84381894
74214,5,2.84381894
74216,5,2.84381894
74217,7,4.994310396
74217,1,2.626176496
74217,2,2.84381894
74217,1,2.626176496
74217,7,4.994310396
74220,2,2.84381894
74220,1,2.626176496
74220,2,2.626176496
74220,2,2.537477922
74222,2,2.626176496
74222,1,2.626176496
74222,2,2.626176496
74222,2,2.626176496
74223,1,2.626176496
74223,1,2.736581766
74228,5,4.994310396
74230,2,2.567973555
74230,2,2.537477922
74235,1,2.565958813
74236,1,2.477260238
74238,1,2.477260238
74241,3,2.477260238
74242,3,2.477260238
74243,1,2.55232193
74243,1,2.477260238
74245,3,2.55232193
74245,3,2.579961892
74245,3,2.262949961
74260,3,2.507755872
74268,1,2.565958813
74290,5,2.477260238
74310,1,2.507755872
74311,32,22.95785485
74314,1,2.537477922
74318,3,4.473751658
74321,3,4.687313719
74325,1,2.753393673
74325,1,1.814347346
74329,1,2.567973555
74337,3,2.626176496
74337,3,2.626176496
74337,3,2.736581766
74337,3,2.626176496
74340,1,2.382757815
74340,1,2.382757815
74340,2,2.626176496
74340,1,2.626176496
74340,1,2.382757815
74340,1,2.567973555
74340,2,2.567973555
74340,1,2.382757815
74359,1,2.537477922
74359,1,2.567973555
74367,18,14.96375818
74377,2,2.731666372
74378,4,2.567973555
74386,5,2.447342821
74395,1,2.382757815
74395,1,2.626176496
74398,1,4.687313719
74399,6,2.626176496
74405,2,2.537477922
74411,1,1.814347346
74414,5,4.567505865
74414,5,4.567505865
74420,3,1.76706227
74420,3,1.76706227
74426,1,2.507755872
74454,5,2.382757815
74454,2,2.382757815
74454,5,2.382757815
74456,5,2.626176496
74460,65,27.76538412
74464,10,2.44682224
74464,1,2.44682224
74466,10,2.44682224
74467,10,2.477317874
74468,4,2.577788304
74468,1,2.577788304
74468,4,2.577788304
74473,3,2.577788304
74473,9,6.998673812
74476,3,2.477317874
74476,9,3.640542861
74478,14,37.83953252
74478,4,2.44682224
74478,1,2.44682224
74479,2,2.44682224
74479,7,2.477317874
74481,8,3.949682899
74482,14,37.94919057
74482,8,3.640542861
74482,7,3.640542861
74482,8,3.949682899
74484,2,2.577788304
74484,1,2.577788304
74484,1,2.688193574
74487,1,2.510157163
74489,6,2.510157163
74489,2,2.577788304
74494,2,2.362591934
74502,2,2.362591934
74502,1,2.362591934
74504,1,2.334369622
74504,1,2.577788304
74510,1,2.362591934
74511,1,2.577788304
74511,1,2.577788304
74516,1,2.362591934
74549,1,2.477317874
74550,12,37.83953252
74559,5,2.477317874
74589,3,4.567505865
74590,1,1.76706227
74590,1,1.76706227
74590,2,1.76706227
74592,1,2.507755872
74592,1,1.76706227
74592,1,2.262949961
74592,1,2.466069318
74592,1,2.466069318
74592,1,1.76706227
74592,1,2.466069318
74592,1,2.507755872
74592,1,2.507755872
74592,1,1.76706227
74592,1,2.507755872
74598,1,1.76706227
74598,1,2.506368642
74620,47,40.77089477
74633,1,2.550961714
74677,1,2.492758773
74677,1,2.462263139
74679,1,1.739132563
74679,1,1.739132563
74700,1,1.746325948
74700,1,2.577788304
74724,1,2.506368642
74734,1,2.477260238
74734,5,2.506368642
74754,5,2.506368642
74754,5,2.506368642
74756,5,2.507755872
74760,11,4.286143454
74760,11,4.439487831
74760,7,4.439487831
74762,1,2.558545356
74763,1,2.558545356
74817,4,2.537477922
74819,2,2.626176496
74819,4,2.567973555
74820,2,2.626176496
74820,2,2.736581766
74825,1,2.626176496
74828,3,2.537477922
74830,4,2.537477922
74830,4,2.567973555
74855,2,2.567973555
74855,2,2.626176496
74856,2,2.567973555
74866,11,2.506368642
74866,11,2.507755872
74872,1,1.763517455
74883,7,2.537477922
74885,5,2.537477922
74885,1,2.537477922
74885,5,2.567973555
74889,22,7.047062005
74891,1,2.567973555
74891,1,2.537477922
74893,22,4.687313719
74894,22,4.687313719
74895,10,2.626176496
74895,10,2.626176496
74896,7,2.537477922
74897,7,2.567973555
74897,1,2.516097914
74899,11,2.626176496
74910,2,2.537477922
74916,3,2.626176496
74931,5,4.994310396
74939,2,2.537477922
74939,2,2.626176496
74940,2,2.626176496
74942,2,3.287686123
74942,2,2.516097914
74943,2,2.753393673
74943,2,2.567973555
74945,3,4.994310396
74946,3,2.753393673
74946,3,4.994310396
74962,1,1.800961841
74967,3,17.48926731
74967,19,17.48926731
74967,2,2.626176496
74967,2,2.567973555
74983,8,2.626176496
74986,2,2.626176496
74986,4,2.537477922
74987,2,2.537477922
75001,2,2.08890343
75001,3,2.626176496
75032,13,2.736581766
75060,1,1.800961841
75076,1,2.626176496
75087,8,2.626176496
75088,8,2.626176496
75097,6,2.626176496
75160,10,3.976627665
75160,10,3.976627665
75160,11,2.824918337
75160,11,2.626176496
75199,5,2.908972909
75199,3,3.036190085
75199,2,2.371699842
75233,2,2.671797631
75248,8,5.618596197
75250,7,2.753393673
75250,2,2.626176496
75250,7,2.567973555
75268,1,2.567973555
75272,1,3.296545849
75274,2,4.994310396
75274,2,2.626176496
75314,2,2.626176496
75316,1,2.626176496
75316,2,2.626176496
75317,2,3.878200539
75317,2,3.804607289
75317,1,4.003349129
75365,4,2.477260238
75365,5,2.477260238
75369,1,2.579961892
75370,1,2.477260238
75370,1,2.506368642
75373,1,2.506368642
75379,1,1.643709601
